"StedID","Stedtekst","Medie","Vandområde","Dato","Prøvetype","Målested, x-koordinat","Målested, y-koordinat","Dybde (m)","Faktiske dybder (m)","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
98110008,"6500054","Marin","Vejsnæs Bugt","24.08.1977 12.00.00 +01:00","Enkeltprøve",600251.4022606106,6077454.345974457,1,"1","Ej oplyst","Primær produktion assimilieret Carbon, potentielt"," =",12.15,"mg/(m3*h)",9999999,NA,1
96100015,"6700053","Marin","Storebælt, Øst","16.04.2009 12.00.00 +02:00","Enkeltprøve",617621.3238715504,6152880.790790793,5,"5","Total","Phosphor, total-P"," =",14,"µg/l",9999999,NA,3
93760002,"Agerø Bredning, Nees Sund","Marin","Agerø Bredning, Nees Sund","27.10.1982 12.00.00 +01:00","Enkeltprøve",471462.8883920531,6286890.564509729,4.6,"4,6","Total","Glødetab,susp.stof"," =",1.2,"mg/l",9999999,NA,2
95200004,"6100051","Marin","Lillebælt, Snævringen","06.12.2001 12.00.00 +01:00","Enkeltprøve",547803.1614290134,6156742.453839152,43.6,"43,6","Ej oplyst","Oxygen indhold"," =",9.94,"mg/l",9999999,NA,2
93720002,"Nibe Og Gjøl Bredning","Marin","Nibe Bredning","10.09.1986 12.00.00 +02:00","Enkeltprøve",537499.0647924436,6321282.773266444,6,"6","Total","Chlorophyl (ukorrigeret)"," =",3,"µg/l",9999999,NA,2
99000001,"Bøje station","Marin","Østersøen, åbne del","02.06.1999 12.00.00 +02:00","Enkeltprøve",717468.0687002982,6080497.846432806,20.9,"20,9","Opløst - filtrat fra filtrering","Silicium"," =",291,"µg/l",9999999,NA,2
99350002,"Midt i Præstø Fjord","Marin","Præstø Fjord","14.06.2011 12.00.00 +02:00","Enkeltprøve",694435.9492629255,6116490.057844064,1,"1","Total","pH"," =",8.22,"pH",9999999,NA,1
94230001,"ODF17","Marin","Odense Fjord, ydre del","29.12.1999 12.00.00 +01:00","Enkeltprøve",596013.3376373918,6149163.600448473,1,"1","Ej oplyst","Ortho-phosphat-P"," =",40,"µg/l",9999999,NA,2
96530017,"7502001","Marin","Vejlen","09.09.1993 12.00.00 +02:00","Enkeltprøve",592081.4451306674,6089932.162585695,1,"1","Ej oplyst","Oxygen indhold"," =",8.5,"mg/l",9999999,NA,2
93500005,"Ud for Randers Fjord","Marin","Kattegat, Hevring Bugt","18.01.2005 12.00.00 +01:00","Enkeltprøve",588590.8430755982,6274906.050729174,1,"1","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",22,"µg/l",9999999,NA,2
92200001,"Hirtshals 15 m","Marin","Skagerrak, Jammerbugten","04.12.2002 12.00.00 +01:00","Enkeltprøve",554693.855531772,6385419.266756418,1,"1","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",69.7,"µg/l",9999999,NA,2
93530076,"Udbyhøj","Marin","Randers Fjord, ydre del","24.11.1997 12.00.00 +01:00","Enkeltprøve",579626.919700555,6274355.931697767,0.5,"0,5","Ej oplyst","Chlorophyl (ukorrigeret)"," =",2.4,"µg/l",9999999,NA,2
94230004,"6900007","Marin","Seden Strand","21.05.1986 12.00.00 +02:00","Enkeltprøve",592253.5466352224,6149064.463810988,2.4,"2,4","Ej oplyst","Primær produktion assimilieret Carbon, integreret"," =",62.51,"mg/(m3*d)",9999999,NA,1
97200002,"720 Øresund, nord, åbne del","Marin","Øresund","24.04.1989 12.00.00 +02:00","Enkeltprøve",734621.8290305485,6197599.183219807,30,"30","Total","Nitrit-N"," =",2,"µg/l",9999999,NA,2
93900003,"DMU station 403","Marin","Kattegat, Aalbæk Bugt","21.01.2025 12.00.00 +01:00","Enkeltprøve",605143.8344727724,6352128.8617638955,5,"5","Opløst - filtrat fra filtrering","Silicium"," =",490,"µg/l",5,NA,2
94260002,"0018002","Marin","Nærå strand","03.06.1982 12.00.00 +02:00","Enkeltprøve",581118.4380075192,6160885.605480858,0.2,"0,2","Ej oplyst","Phosphor, total-P"," =",204,"µg/l",9999999,NA,2
99000049,"910 Bornholm, åbne del","Marin","Østersøen, åbne del","11.07.1984 12.00.00 +02:00","Enkeltprøve",943545.1619785636,6144866.5376737,80,"80","Ej oplyst","Oxygen indhold"," =",0.43,"mg/l",9999999,NA,2
93220004,"322 Roskilde Fjord","Marin","Frederiksværk Bredning","13.09.1994 12.00.00 +02:00","Blandingsprøve",688892.6812603791,6201824.818411441,3.3333333333333335,"6; 3; 1","Ej oplyst","Ortho-phosphat-P","<",5,"µg/l",9999999,NA,2
95910001,"Als fjord","Marin","Als Fjord","26.08.2020 12.00.00 +02:00","Enkeltprøve",543657.507841681,6095727.784090831,21.6,"21,6","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",99,"µg/l",9999999,NA,2
91240001,"Bøvling Fjord","Marin","Bøvling Fjord","17.06.2025 12.00.00 +02:00","Enkeltprøve",447670.6489844605,6250087.576301077,1,"1","Opløst - filtrat fra filtrering","Silicium"," =",1600,"µg/l",5,NA,2
93220011,"322 Roskilde Fjord","Marin","Roskilde Bredning","13.05.1997 12.00.00 +02:00","Blandingsprøve",692642.6772302547,6178399.248087393,2,"3,9; 1,2; 0,5; 2,4","Ej oplyst","Silicium"," =",950,"µg/l",9999999,NA,2
96110002,"611 Kalundborg Fjord","Marin","Kalundborg fjord","09.01.2001 12.00.00 +01:00","Enkeltprøve",621802.0209164515,6175265.548960358,1,"1","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",25,"µg/l",9999999,NA,2
94260001,"0018001","Marin","Nærå strand","05.07.2000 12.00.00 +02:00","Enkeltprøve",581571.3019451682,6163083.2096917275,0.2,"0,2","Ej oplyst","Nitrogen,total N"," =",680,"µg/l",9999999,NA,2
95130002,"Vejle Fjord","Marin","Holtser Hage","07.10.2002 12.00.00 +02:00","Enkeltprøve",541999.9598629996,6173357.343589931,1,"1","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",22,"µg/l",9999999,NA,2
95260002,"Kolding Fjord","Marin","Strandhuse","25.08.1998 12.00.00 +02:00","Enkeltprøve",533381.1481189213,6149743.97039899,1,"1","Partikelbundet - fra filteret","Chlorophyl A"," =",6.7,"µg/l",9999999,NA,2
93740007,"VIB3727-00001","Marin","Skive Fjord","25.09.2002 12.00.00 +02:00","Enkeltprøve",504684.0612915357,6275238.369762819,1,"1","Opløst - filtrat fra filtrering","Silicium"," =",1000,"µg/l",9999999,NA,2
96520006,"6500033","Marin","Svendborg Sund, åbne del","12.03.2002 12.00.00 +01:00","Enkeltprøve",603678.9914344284,6102546.161889024,8.1,"8,1","Ej oplyst","Nitrogen,total N"," =",400,"µg/l",9999999,NA,2
94300001,"Nordlige Lillebælt","Marin","Nordlige Bælthav, Fyn, Nord","04.05.1999 12.00.00 +02:00","Enkeltprøve",568514.1459732627,6170650.93276987,19,"19","Total","Nitrogen,total N"," =",770,"µg/l",9999999,NA,2
93760006,"Thisted Bredning","Marin","Thisted Bredning","09.06.2020 12.00.00 +02:00","Enkeltprøve",484019.5036646684,6308511.425014464,1,"1","Total","Phosphor, total-P"," =",27,"µg/l",9999999,NA,2
97200002,"720 Øresund, nord, åbne del","Marin","Øresund","23.08.1993 12.00.00 +02:00","Enkeltprøve",734621.8290305485,6197599.183219807,20,"20","Total","Nitrat-N"," =",50,"µg/l",9999999,NA,2
95410009,"6200026","Marin","Torø Vig","25.09.2017 12.00.00 +02:00","Enkeltprøve",555935.1797420509,6123676.959573964,1,"1","Total","Oxygen indhold"," =",9.02,"mg/l",9999999,NA,3
94300001,"Nordlige Lillebælt","Marin","Nordlige Bælthav, Fyn, Nord","17.03.2004 12.00.00 +01:00","Enkeltprøve",568529.0176593249,6170372.887549035,1,"1","Partikelbundet - fra filteret","Phosphor, total-P"," =",14,"µg/l",9999999,NA,2
96600005,"6500053","Marin","Langelandssundet","03.08.1994 12.00.00 +02:00","Enkeltprøve",615079.6668659594,6103623.400418141,1,"1","Partikelbundet - fra filteret","Chlorophyl A"," =",3.3,"µg/l",9999999,NA,2
96210002,"vmpr 51013","Marin","Skælskør Fjord","17.01.2012 12.00.00 +01:00","Enkeltprøve",645083.7269954835,6124814.054524119,1,"1","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",0.9,"µg/l",9999999,NA,3
93210005,"321 Isefjord Yderbredning","Marin","Isefjord Yderbredning","04.03.1993 12.00.00 +01:00","Enkeltprøve",674994.8217993025,6194813.489332025,9,"9","Total","Nitrogen,total N"," =",580,"µg/l",9999999,NA,2
93740011,"Lovns Bredning","Marin","Lovns Bredning","29.02.2000 12.00.00 +01:00","Enkeltprøve",514875.46224583674,6279621.716447286,1,"1","Total","Ammoniak+ammonium-N"," =",26,"µg/l",9999999,NA,2
96100014,"6700051","Marin","Storebælt, Øst","13.04.1989 12.00.00 +02:00","Enkeltprøve",627625.8356240167,6115526.4877909655,1,"1","Partikelbundet - fra filteret","Chlorophyl A"," =",1.4,"µg/l",9999999,NA,2
94300013,"Mejl Flak Vest","Marin","Nordlige Bælthav, Fyn, Nord","21.11.2019 12.00.00 +01:00","Enkeltprøve",586697.5411260466,6211848.254954258,1,"1","Total","Oxygen indhold"," =",10.19,"mg/l",9999999,NA,2
91240001,"Bøvling Fjord","Marin","Bøvling Fjord","17.11.1987 12.00.00 +01:00","Blandingsprøve",447671.1056472113,6250124.635343758,0.95,"0,2; 1,7","Total","Nitrogen,total N"," =",1810,"µg/l",9999999,NA,2
93770031,"Nissum Bredning, Midt","Marin","Nissum Bredning, Midt","22.10.2013 12.00.00 +02:00","Enkeltprøve",464093.06883869215,6273069.871168982,1,"1","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",5.1,"µg/l",9999999,NA,3
96250088,"Vigsø Skal","Marin","Guldborg Sund, Nord","16.12.2004 12.00.00 +01:00","Enkeltprøve",672131.9134395155,6089592.881251104,1,"1","Total","Oxygen indhold"," =",11.11,"mg/l",9999999,NA,2
96520007,"6500034","Marin","Svendborg Sund, åbne del","04.10.1977 12.00.00 +01:00","Enkeltprøve",599490.9413536518,6099608.369040401,1,"1","Ej oplyst","Nitrit+nitrat-N"," =",5,"µg/l",9999999,NA,2
95720006,"Flensborg fjord","Marin","Aggersund","04.10.1994 12.00.00 +01:00","Enkeltprøve",539007.3529926512,6079289.00168675,15,"15","Total","Nitrogen,total N"," =",420,"µg/l",9999999,NA,2
