"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"FURESØ, kemi","23.11.2022 12.00.00 +01:00","Marin",16,714083.9990448453,6189179.027232725,"Oxygen indhold","",9.5,"mg/l",1
"Jels Oversø - vandkemi","28.05.1997 12.00.00 +02:00","Marin",1,515695,6136936,"Oxygen indhold"," =",11.3,"mg/l",2
"BUE SØ, kemi","29.02.1988 12.00.00 +01:00","Marin",4,688018,6170184,"Oxygen indhold"," =",12.6,"mg/l",2
"Kær Vig - vandkemi","25.04.2012 12.00.00 +02:00","Marin",0.75,549324,6088526,"Oxygenmætning"," =",120.4,"pct",2
"NORDBY SØ ST AMT","01.06.2015 12.00.00 +02:00","Marin",1,561051,6123651,"Oxygen indhold"," =",9.21,"mg/l",2
"LEMVIG SØ, Vandkemi","12.06.1991 12.00.00 +02:00","Marin",1,457993,6266836,"Oxygen indhold"," =",8.2,"mg/l",2
"KIMMERSLEV SØ, kemi","02.11.1982 12.00.00 +01:00","Marin",5,688780,6153065,"Oxygenmætning"," =",54,"pct",2
"TEBSTRUP SØ","12.07.1999 12.00.00 +02:00","Marin",12.01,554540,6201824,"Oxygen indhold"," =",0,"mg/l",2
"GUNDSØMAGLE SØ ST AMT","13.08.1998 12.00.00 +02:00","Marin",1,700368,6180364,"Oxygen indhold"," =",11.7,"mg/l",2
"Kvie Sø - vandkemi","11.04.2011 12.00.00 +02:00","Marin",0.2,485559,6175543,"Oxygenmætning"," =",113.1,"pct",2
"KARLSGÅRD SØ AMT ST 2","13.11.2002 12.00.00 +01:00","Marin",1,475406,6166912,"Oxygen indhold"," =",11.2,"mg/l",2
"SØHOLM SØ /001","06.06.2012 12.00.00 +02:00","Marin",9.5,571863,6125861,"Oxygenmætning"," =",9,"pct",2
"TRYGGELEV NOR VEST MC ST 2","23.09.2004 12.00.00 +02:00","Marin",2.1,606770,6073340,"Oxygenmætning"," =",101,"pct",2
"KRANSMOSE, Vandkemi","27.08.2015 12.00.00 +02:00","Marin",4,517509,6251173,"Oxygenmætning"," =",48,"pct",2
"FURESØ, kemi","11.06.1992 12.00.00 +02:00","Marin",20.06,714084,6189179,"Oxygen indhold"," =",8.8,"mg/l",2
"Højbygård Sø","04.05.2021 12.00.00 +02:00","Marin",3,662460.9998632363,6198542.003631952,"Oxygenmætning","",114,"pct",2
"FURESØ, kemi","12.10.2010 12.00.00 +02:00","Marin",6,714084,6189179,"Oxygenmætning"," =",87,"pct",2
"Langesø /002","20.06.2002 12.00.00 +02:00","Marin",3.5,575712,6143790,"Oxygenmætning"," =",30,"pct",2
"Holm Sø - vandkemi","15.01.2009 12.00.00 +01:00","Marin",1.1,450100,6166893,"Oxygenmætning"," =",95.8,"pct",2
"ESRUM SØ, kemi","01.07.2019 12.00.00 +02:00","Marin",13,711305,6213072,"Oxygenmætning"," =",64,"pct",3
"BONDERUP MOSE hovedst.","06.05.1993 12.00.00 +02:00","Marin",3.7,680434,6123599,"Oxygen indhold"," =",7.2,"mg/l",2
"HANNEBJERG MOSE,NORDVEST BASSI","24.05.1993 12.00.00 +02:00","Marin",1.5,610684,6079454,"Oxygen indhold"," =",6.7,"mg/l",2
"TISSØ, kemi","21.05.2007 12.00.00 +02:00","Marin",6,644295,6162469,"Oxygenmætning"," =",93,"pct",2
"ABORRE SØ, kemi","18.07.2024 12.00.00 +02:00","Marin",3.03,725683.118039166,6098241.028412599,"Oxygen indhold","",9.28,"mg/l",2
"PEBLINGSØ  KOM ST","16.09.2015 12.00.00 +02:00","Marin",0.2,723897,6176639,"Oxygenmætning"," =",106,"pct",1
"Hjulsø - vandkemi","21.08.2025 12.00.00 +02:00","Marin",2,524583.9562336256,6091701.91471721,"Oxygenmætning","",0.51,"pct",2
"TUEL SØ ST.1,HOVEDSTATION","09.06.1995 12.00.00 +02:00","Marin",4.02,663416,6147895,"Oxygen indhold"," =",11,"mg/l",2
"BURESØ","23.08.2023 12.00.00 +02:00","Marin",7.95,701618.5486039208,6191257.068780923,"Oxygenmætning","",31.081,"pct",2
"BORRESØ, BOR1","11.03.1992 12.00.00 +01:00","Marin",0.2,537878,6220827,"Oxygen indhold"," =",15.6,"mg/l",2
"SKÅN SØ, Vandkemi","09.07.2009 12.00.00 +02:00","Marin",6,489508,6262774,"Oxygen indhold"," =",8.58,"mg/l",2
"KARLSØ, MIDT - vandkemi","14.05.2003 12.00.00 +02:00","Marin",0.2,533994,6207563,"Oxygen indhold"," =",11,"mg/l",2
"KULSØ V. BRYRUP MIDT  KUL 1","20.09.2018 12.00.00 +02:00","Marin",2,530321,6209435,"Oxygenmætning"," =",114.4,"pct",3
"MØLHOLM KRIDTGRAV - vandkemi","23.09.2021 12.00.00 +02:00","Marin",0.2,553377.9999554489,6322437.003455237,"Oxygenmætning"," =",88.15,"pct",2
"TYSTRUP SØ, kemi","22.05.2001 12.00.00 +02:00","Marin",4.06,663916,6137795,"Oxygen indhold"," =",10.9,"mg/l",2
"MAGLESØ, kemi","09.07.1996 12.00.00 +02:00","Marin",2.03,669464,6168553,"Oxygen indhold"," =",9.8,"mg/l",2
"STORMOSEN, kemi","21.05.1991 12.00.00 +02:00","Marin",1,708455,6181961,"Oxygenmætning"," =",90,"pct",2
"SØGÅRD SØ (SYD, v. Vamdrup) - vandkemi","13.05.1992 12.00.00 +02:00","Marin",2.04,520785,6142631,"Oxygen indhold"," =",11,"mg/l",2
"SORTESØ, kemi","25.11.2009 12.00.00 +01:00","Marin",5,721464,6217053,"Oxygenmætning"," =",62,"pct",2
"Kastelsgraven, vestlige del","20.11.2012 12.00.00 +01:00","Marin",1,725755,6177490,"Oxygenmætning"," =",61,"pct",1
"GENTOFTE SØ AMT ST","03.06.2002 12.00.00 +02:00","Marin",0.5,721775,6183717,"Oxygen indhold"," =",10.6,"mg/l",2
"RØGBØLLE SØ, SYDB, kemi","25.07.1994 12.00.00 +02:00","Marin",2,666003,6065651,"Oxygenmætning"," =",100,"pct",2
"Furesø-3007","01.09.2004 12.00.00 +02:00","Marin",12.3,713292,6189209,"Oxygenmætning"," =",49,"pct",2
"Vedsted Sø - vandkemi","13.06.2005 12.00.00 +02:00","Marin",10,523233,6116144,"Oxygenmætning"," =",0.5,"pct",2
"ULVEKÆR C, Vandkemi","02.05.2023 12.00.00 +02:00","Marin",0.19,499129.9492605418,6262230.91427027,"Oxygen indhold","",10.0821,"mg/l",2
"JULSØ - JUL1 - vandkemi","21.06.2024 12.00.00 +02:00","Marin",4.98,542593.0231956263,6219334.953455702,"Oxygenmætning","",97.0924,"pct",2
"Frederiksborg  Slotsø, kemi","23.10.2002 12.00.00 +02:00","Marin",7,706425,6203680,"Oxygenmætning"," =",66,"pct",2
"Råkær Grusgravssø - Øst  - vandkemi","29.09.2021 12.00.00 +02:00","Marin",0.19,521926.99998150184,6091902.003775994,"Oxygenmætning"," =",100.5,"pct",2
"ESRUM SØ, kemi","14.04.1988 12.00.00 +02:00","Marin",9,711305,6213072,"Oxygen indhold"," =",15.3,"mg/l",2
"FURESØ, kemi","05.04.1990 12.00.00 +02:00","Marin",20,714084,6189179,"Oxygen indhold"," =",12.8,"mg/l",2
"TANGE SØ, Vandkemi GAMMEL","23.09.2015 12.00.00 +02:00","Marin",5,536479,6241513,"Oxygen indhold"," =",8.3,"mg/l",2
"VEDSTED SØ AMT ST 3","01.04.1997 12.00.00 +02:00","Marin",1.02,523049,6116318,"Oxygen indhold"," =",12,"mg/l",2
"ST.GRIB SØ","12.05.2004 12.00.00 +02:00","Marin",8,706078,6209294,"Oxygenmætning"," =",69,"pct",2
"Rygbjerg Sø - vandkemi","30.05.2001 12.00.00 +02:00","Marin",6.02,522378,6116429,"Oxygen indhold"," =",6,"mg/l",2
"H78 - Rømø, Sø 3 - vandkemi","10.05.2023 12.00.00 +02:00","Marin",0.2,467899.00002707465,6109718.003752691,"Oxygen indhold","",9.22,"mg/l",2
"Flaskemosen","02.10.2003 12.00.00 +02:00","Marin",1.3,687533,6160212,"Oxygen indhold"," =",11.2,"mg/l",2
"SØNDERBY SØ ST AMT","29.08.1991 12.00.00 +02:00","Marin",4,561030,6122153,"Oxygenmætning"," =",40,"pct",2
"VOMME SØ ST 2 AMT","01.08.2023 12.00.00 +02:00","Marin",2.07,603569.6262354288,6133607.693161743,"Oxygen indhold","",11.3172,"mg/l",2
"KNUDSØ,VEST -- KNU 2","05.12.1990 12.00.00 +01:00","Marin",6,546642,6217444,"Oxygenmætning"," =",81,"pct",2
"H84-Hostrup, sø 23 - vandkemi","13.05.2025 12.00.00 +02:00","Marin",0.19,527925.9844424154,6092233.030478573,"Oxygen indhold","",8.4,"mg/l",2
"LADEGÅRD SØ, Vandkemi","29.09.2015 12.00.00 +02:00","Marin",0.2,494045,6256235,"Oxygen indhold"," =",11.08,"mg/l",2
"Arreskov Sø /004","20.07.1998 12.00.00 +02:00","Marin",1.5,583299,6113387,"Oxygen indhold"," =",8.5,"mg/l",2
"PORSEMOSEN DAM 2","12.05.2023 12.00.00 +02:00","Marin",0.1,707117.2704357264,6176845.529616685,"Oxygenmætning","",95.1824,"pct",2
"ROSENGÅRD SØ, kemi","10.06.2002 12.00.00 +02:00","Marin",1.98,682619,6149794,"Oxygen indhold"," =",10.11,"mg/l",2
"SØ V. TOREBY AMT ST","11.05.2004 12.00.00 +02:00","Marin",1,679050,6070632,"Oxygen indhold"," =",8.5,"mg/l",2
"RING SØ","05.05.2004 12.00.00 +02:00","Marin",4.46,537179,6202473,"Oxygenmætning"," =",17.7,"pct",2
"LYNGBY SØ,SØPROMENADEN","24.08.1972 12.00.00 +01:00","Marin",0.2,718919,6186468,"Oxygenmætning"," =",99,"pct",2
"FURESØ, kemi","11.09.2017 12.00.00 +02:00","Marin",1,714084,6189179,"Oxygenmætning"," =",84,"pct",3
"FURESØ, kemi","16.06.2005 12.00.00 +02:00","Marin",26.85,714084,6189179,"Oxygenmætning"," =",94,"pct",2
"SØHOLM SØ /001","15.05.2024 12.00.00 +02:00","Marin",6.44,571863.0491656138,6125860.9812944615,"Oxygen indhold","",6.76,"mg/l",2
"Arreskov Sø /004","11.07.1990 12.00.00 +02:00","Marin",0.5,583299,6113387,"Oxygenmætning"," =",98,"pct",2
"BRASSØ, BRA 1","16.06.1992 12.00.00 +02:00","Marin",1,536232,6221992,"Oxygen indhold"," =",10,"mg/l",2
"SØHOLM SØ /001","06.08.1997 12.00.00 +02:00","Marin",0.2,571863,6125861,"Oxygen indhold"," =",10.6,"mg/l",2
"Stilling Solbjerg Sø, SYD FOR KOLLEN","25.06.2021 12.00.00 +02:00","Marin",12.9,565080.9991818693,6213110.800164441,"Oxygen indhold","",3.85,"mg/l",2
"Bæklund Sø - vandkemi","22.08.2025 12.00.00 +02:00","Marin",0.2,528311.9999761792,6192433.003640871,"Oxygenmætning"," =",80.92,"pct",2
"SØHOLM SØ /001","26.04.2022 12.00.00 +02:00","Marin",12.09,571863.0491656138,6125860.9812944615,"Oxygenmætning","",53.1718,"pct",2
"TISSØ, kemi","22.04.1998 12.00.00 +02:00","Marin",0.93,644295,6162469,"Oxygen indhold"," =",12.9,"mg/l",2
"NIELSTRUP SØ, (RØNNEDE)","09.08.2012 12.00.00 +02:00","Marin",0.21,690900,6131086,"Oxygenmætning"," =",116.75,"pct",2
"KARLSØ, MIDT - vandkemi","31.03.2005 12.00.00 +02:00","Marin",1.5,533994,6207563,"Oxygenmætning"," =",98,"pct",2
"BRYRUP LANGSØ,  BRY 1","23.04.1990 12.00.00 +02:00","Marin",2,532693,6208262,"Oxygen indhold"," =",16.5,"mg/l",2
"LØGSØ AMT ST","20.11.2008 12.00.00 +01:00","Marin",4,717909,6192954,"Oxygen indhold"," =",8.8,"mg/l",2
"FURESØ, kemi","10.05.1990 12.00.00 +02:00","Marin",16,714084,6189179,"Oxygen indhold"," =",11.8,"mg/l",2
"Stilling Solbjerg Sø, SYD FOR KOLLEN","05.07.2006 12.00.00 +02:00","Marin",1.1,565236,6213113,"Oxygen indhold"," =",12.6,"mg/l",2
"TISSØ, kemi","08.10.1998 12.00.00 +02:00","Marin",5.98,644295,6162469,"Oxygen indhold"," =",9.5,"mg/l",2
"SØBYLEJET 15, Vandkemi","09.08.2023 12.00.00 +02:00","Marin",1.99,505132.999991138,6211214.007428738,"Oxygen indhold","",8.7281,"mg/l",2
"SJØRUP SØ - vandkemi","11.05.2023 12.00.00 +02:00","Marin",6.01,524153.9999585076,6302803.0071649505,"Oxygen indhold","",10.643,"mg/l",2
"Nørresø, Fyn /001, vandkemi, sediment","03.05.2018 12.00.00 +02:00","Marin",1,587917,6112007,"Oxygen indhold"," =",9.46,"mg/l",3
"VANDET SØ - vandkemi","24.09.2012 12.00.00 +02:00","Marin",15,473039,6319052,"Oxygen indhold"," =",9.66,"mg/l",2
"ULVEDYBET - vandkemi","29.04.2021 12.00.00 +02:00","Marin",1,539588.9999669718,6327186.003448083,"Oxygenmætning","",106.3,"pct",2
"VIRKET SØ, kemi","08.05.2012 12.00.00 +02:00","Marin",4.52,690400,6080263,"Oxygenmætning"," =",13.61,"pct",2
"BRASSØ, BRA 1","10.07.2018 12.00.00 +02:00","Marin",0.99,536232,6221992,"Oxygenmætning"," =",88.5,"pct",3
"RAVNSØ, MIDT -- RAV1 - vandkemi","27.06.1991 12.00.00 +02:00","Marin",17,552519,6218243,"Oxygenmætning"," =",77,"pct",2
"FURESØ, kemi","20.05.1999 12.00.00 +02:00","Marin",16,714084,6189179,"Oxygenmætning"," =",110,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","19.09.1990 12.00.00 +02:00","Marin",3,552519,6218243,"Oxygenmætning"," =",94,"pct",2
"Fønix Sø /001","08.07.2014 12.00.00 +02:00","Marin",0.2,598288,6132928,"Oxygen indhold"," =",11.21,"mg/l",2
"FARUM SØ, FISKEBÆK","02.09.1975 12.00.00 +01:00","Marin",0,711411,6189632,"Oxygenmætning"," =",180,"pct",2
"ULSE SØ, kemi","15.08.2003 12.00.00 +02:00","Marin",6.06,691219,6132094,"Oxygen indhold"," =",5.47,"mg/l",2
"Store Søgård Sø - vandkemi","15.08.2007 12.00.00 +02:00","Marin",4.5,528587,6087722,"Oxygen indhold"," =",3,"mg/l",2
"SØBO SØ, vandkemi","22.07.1991 12.00.00 +02:00","Marin",5,576888,6118630,"Oxygen indhold"," =",8,"mg/l",2
"BAGSVÆRD SØ, kemi","12.01.1994 12.00.00 +01:00","Marin",0.2,717383,6185871,"Oxygen indhold"," =",14.8,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","29.10.2008 12.00.00 +01:00","Marin",26,552519,6218243,"Oxygenmætning"," =",1,"pct",2
"Arreskov Sø /004","26.04.2004 12.00.00 +02:00","Marin",0.2,583299,6113387,"Oxygen indhold"," =",9.5,"mg/l",2
"HULEMOSE SØ,VORDINGBORG","26.06.2000 12.00.00 +02:00","Marin",0.5,690162,6099336,"Oxygen indhold"," =",5.3,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","13.06.1995 12.00.00 +02:00","Marin",1.1,532693,6208262,"Oxygenmætning"," =",112,"pct",2
"SØHOLM SØ /001","06.10.2005 12.00.00 +02:00","Marin",0.5,571863,6125861,"Oxygenmætning"," =",81,"pct",2
"GØDSTRUP SØ, Vandkemi","08.08.1989 12.00.00 +02:00","Marin",0.2,494267,6223446,"Oxygenmætning"," =",109,"pct",2
"UTTERSLEV MOSE, VESTLIG BASSIN","18.12.2019 12.00.00 +01:00","Marin",0.2,719438.9998064459,6179850.003863373,"Oxygen indhold","",11.39,"mg/l",1
"KULSØ, NØRRE SNEDE, Vandkemi","16.11.2011 12.00.00 +01:00","Marin",2.22,520106,6198657,"Oxygen indhold"," =",11.2,"mg/l",2
"HERNINGSHOLM SØ, Vandkemi","06.06.2023 12.00.00 +02:00","Marin",3.53,500460.9356905042,6223141.70387854,"Oxygenmætning","",65.7199,"pct",2
"STORE KATTINGE SØ, kemi","30.09.1999 12.00.00 +02:00","Marin",1,689552,6172212,"Oxygen indhold"," =",8.2,"mg/l",2
"Gråsten Slotssø - vandkemi","09.12.2004 12.00.00 +01:00","Marin",4.98,537772,6086237,"Oxygenmætning"," =",81.5,"pct",2
"Arreskov Sø /004","17.05.1990 12.00.00 +02:00","Marin",1,583299,6113387,"Oxygenmætning"," =",103,"pct",2
"JULSØ - JUL1 - vandkemi","28.09.2010 12.00.00 +02:00","Marin",2.99,542593,6219335,"Oxygenmætning"," =",78.4,"pct",2
"FURESØ, kemi","28.10.1993 12.00.00 +01:00","Marin",26.04,714084,6189179,"Oxygenmætning"," =",69.3,"pct",2
