"StedID","Stedtekst","Vandområde","Dato","Medie","Prøvetype","Dybde (m)","Målested, x-koordinat","Målested, y-koordinat","Faktiske dybder (m)","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
1000035,"NORS SØ - vandkemi","Norssø","01.07.1992 12.00.00 +02:00","Sø","Blandingsprøve",8.040000000000001,476319.00001976633,6320842.003460006,"16; 12; 0,2; 4; 8","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",0.05400000256486237,"mg/l",9999999,NA,2
47000024,"Sortesø /001, Fyn","Sorte Sø","17.05.2006 12.00.00 +02:00","Sø","Enkeltprøve",3,583514.9999295654,6108993.003756486,"3","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.172,"mg/l",9999999,NA,2
21000367,"Skanderborg Sø - vandkemi","Hylke Sø","06.09.1990 12.00.00 +02:00","Sø","Puljet prøve / vertikal serie",1.1,557733.999951457,6207908.003622121,"1,1","Total","Suspenderede stoffer"," =",12,"mg/l",9999999,NA,2
42000057,"Sø 232 - vandkemi","Sø 232 ved kliplev","19.05.2020 12.00.00 +02:00","Sø","Blandingsprøve",0.5666666666666667,525455.9999785245,6091190.003779212,"0,5; 0,2; 1","Total","Chlorophyl (ukorrigeret)"," =",3,"µg/l",0.3,NA,2
16000016,"KILEN, Vandkemi","Kilen","19.11.1987 12.00.00 +01:00","Sø","Enkeltprøve",0,473293.0000223884,6261767.003545757,"0","Total","Alkalinitet,total TA"," =",1.68,"mmol/l",9999999,NA,2
21000272,"VIBORG NØRRESØ, Vandkemi","Viborg nørresø","14.10.1996 12.00.00 +02:00","Sø","Enkeltprøve",10.5,526648.999977655,6257983.003551171,"10,5","Total","Carbon, uorganisk"," =",0.14607999444007874,"mg/l",9999999,NA,2
16000038,"FERRING SØ, Vandkemi","Ferring Sø","12.06.2002 12.00.00 +02:00","Sø","Blandingsprøve",0.6,447186.0000442562,6268201.0035367645,"0,2; 1","Ej oplyst","Nitrit+nitrat-N"," =",0.006,"mg/l",9999999,NA,2
51000005,"MAGLESØ, kemi","Maglesø v. brorfelde","09.06.1993 12.00.00 +02:00","Sø","Blandingsprøve",2.3,669463.9998575082,6168553.003675066,"1,2; 2,3; 3,4; 4,4; 0,2","Ej oplyst","Phosphor, total-P"," =",0.03,"mg/l",9999999,NA,2
46000013,"SØNDERBY SØ ST AMT","Sønderby Sø","27.11.1972 12.00.00 +01:00","Sø","Enkeltprøve",3,561029.9999485379,6122153.0037388215,"3","Total","Oxygen indhold"," =",10.6,"mg/l",9999999,NA,2
50000029,"FURESØ, kemi","Furesøen  storesø","21.09.2000 12.00.00 +02:00","Sø","Enkeltprøve",20,714083.9998196077,6189179.003636095,"20","Total","Phosphor, total-P"," =",0.28,"mg/l",9999999,NA,2
16000065,"SKØR SØ, Vandkemi","Skør Sø","05.07.2006 12.00.00 +02:00","Sø","Blandingsprøve",0.6,491055.000007496,6267116.003538018,"0,2; 1","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.003,"mg/l",9999999,NA,2
46000010,"SØHOLM SØ /001","Søholm Sø","28.09.2004 12.00.00 +02:00","Sø","Enkeltprøve",0.5,571862.9999394091,6125861.003734028,"0,5","Total","Oxygenmætning"," =",73.4,"pct",9999999,NA,2
21000270,"LOLDRUP SØ, Vandkemi","Loldrup Sø","21.08.2002 12.00.00 +02:00","Sø","Enkeltprøve",3,527688.9999767871,6260763.0035472,"3","Total","Alkalinitet,total TA"," =",2.1,"mmol/l",9999999,NA,2
