"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"Store Søgård Sø - vandkemi","06.01.2005 12.00.00 +01:00","Sø",3,528587,6087722,"Oxygen indhold"," =",12.1,"mg/l",2
"BUE SØ, kemi","11.08.1994 12.00.00 +02:00","Sø",2.5,688018,6170184,"Oxygen indhold"," =",4.33,"mg/l",2
"HALD SØ ST.3","11.08.2003 12.00.00 +02:00","Sø",0.2,521059,6249273,"Oxygen indhold"," =",15.6,"mg/l",2
"SNÆBUM SØ - vandkemi","14.08.2017 12.00.00 +02:00","Sø",17,539799,6278193,"Oxygenmætning"," =",0,"pct",3
"HVIDKILDE SØ /001","07.09.1990 12.00.00 +02:00","Sø",1.5,597396,6103326,"Oxygenmætning"," =",85,"pct",2
"TYSTRUP SØ, kemi","07.04.2003 12.00.00 +02:00","Sø",6.09,663916,6137795,"Oxygen indhold"," =",12.36,"mg/l",2
"MAGLESØ, kemi","05.07.2004 12.00.00 +02:00","Sø",0,669464,6168553,"Oxygen indhold"," =",10.02,"mg/l",2
"Langesø /002","11.07.1994 12.00.00 +02:00","Sø",1.5,575712,6143790,"Oxygen indhold"," =",11.7,"mg/l",2
"ROSENGÅRD SØ, kemi","19.03.2002 12.00.00 +01:00","Sø",2.02,682619,6149794,"Oxygen indhold"," =",13.19,"mg/l",2
"KILEN, Vandkemi","07.07.2025 12.00.00 +02:00","Sø",1.98,473293.02564780373,6261766.955117108,"Oxygenmætning","",100.21,"pct",2
"VEJLESØ, MIDT","14.09.1988 12.00.00 +02:00","Sø",5,717014,6190183,"Oxygen indhold"," =",0.1,"mg/l",2
"STEVNING DAM 2","12.08.1991 12.00.00 +02:00","Sø",1.2,522937,6122084,"Oxygen indhold"," =",8.6,"mg/l",2
"FURESØ, kemi","23.05.2012 12.00.00 +02:00","Sø",17,714084,6189179,"Oxygenmætning"," =",92,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","30.08.2016 12.00.00 +02:00","Sø",8.52,552519,6218243,"Oxygen indhold"," =",4.7,"mg/l",3
"AMHOLM SØ SYD, Vandkemi","17.05.2018 12.00.00 +02:00","Sø",0.2,464970,6196203,"Oxygenmætning"," =",77.1,"pct",3
"GJORSLEV MØLLESØ, kemi","15.07.2008 12.00.00 +02:00","Sø",1,714654,6141325,"Oxygen indhold"," =",10.4,"mg/l",2
"SØGÅRD SØ (SYD, v. Vamdrup) - vandkemi","01.09.2009 12.00.00 +02:00","Sø",2.02,520785,6142631,"Oxygen indhold"," =",8,"mg/l",2
"VOMME SØ ST 2 AMT","26.05.1998 12.00.00 +02:00","Sø",1,603570,6133607,"Oxygenmætning"," =",133,"pct",2
"VEJLESØ, MIDT","14.08.2000 12.00.00 +02:00","Sø",4.5,717014,6190183,"Oxygen indhold"," =",0,"mg/l",2
"SØBO SØ, vandkemi","29.04.1992 12.00.00 +02:00","Sø",5.5,576888,6118630,"Oxygen indhold"," =",9.9,"mg/l",2
"SNÆBUM SØ - vandkemi","30.06.2015 12.00.00 +02:00","Sø",11,539799,6278193,"Oxygen indhold"," =",0.01,"mg/l",2
"HARALDSTED LANGESØ, hovedstation","18.05.2005 12.00.00 +02:00","Sø",8.16,674662,6152198,"Oxygenmætning"," =",86.2,"pct",2
"TORUP SØ - vandkemi","20.06.1995 12.00.00 +02:00","Sø",8,526958,6208210,"Oxygenmætning"," =",3,"pct",2
"STEJLHOLT SØ - vandkemi","18.08.2020 12.00.00 +02:00","Sø",2.5,540679,6212861,"Oxygen indhold"," =",10.4,"mg/l",2
"UTTERSLEV MOSE, MIDT BASSIN","23.05.2023 12.00.00 +02:00","Sø",1,720231.9998057615,6180183.003862957,"Oxygen indhold","",9.91,"mg/l",1
"FURESØ, kemi","17.09.1998 12.00.00 +02:00","Sø",0,714084,6189179,"Oxygen indhold"," =",8.8,"mg/l",2
"MØLLESØ, Falster, kemi","20.09.1993 12.00.00 +02:00","Sø",7,691301,6081685,"Oxygenmætning"," =",92,"pct",2
"FURESØ, kemi","13.10.2021 12.00.00 +02:00","Sø",34,714083.9998185481,6189179.003633557,"Oxygenmætning","",0,"pct",2
"KORNERUP SØ, kemi","12.06.2008 12.00.00 +02:00","Sø",2.5,687852,6168864,"Oxygen indhold"," =",7.6,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","22.10.2020 12.00.00 +02:00","Sø",6,552519,6218243,"Oxygen indhold"," =",9.17,"mg/l",2
"HALD SØ, Vandkemi","29.11.2004 12.00.00 +01:00","Sø",24,520999,6247723,"Oxygen indhold"," =",10.3,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","27.02.2025 12.00.00 +01:00","Sø",0.96,532693.0084237793,6208261.925750032,"Oxygen indhold","",10.77,"mg/l",2
"TEBSTRUP SØ","15.11.1989 12.00.00 +01:00","Sø",1.5,554540,6201824,"Oxygen indhold"," =",11.2,"mg/l",2
"TIDAM, kemi","11.09.2019 12.00.00 +02:00","Sø",0.2,639939,6176874,"Oxygenmætning"," =",112,"pct",3
"TORUP SØ - vandkemi","09.08.2004 12.00.00 +02:00","Sø",5.97,526958,6208210,"Oxygen indhold"," =",0,"mg/l",2
"DYBSØ","19.08.1999 12.00.00 +02:00","Sø",4,714495,6142000,"Oxygen indhold"," =",0.2,"mg/l",2
"ESRUM SØ, kemi","19.09.1989 12.00.00 +02:00","Sø",19,711305,6213072,"Oxygen indhold"," =",0.1,"mg/l",2
"Langesø /002","16.05.1990 12.00.00 +02:00","Sø",0.2,575712,6143790,"Oxygen indhold"," =",5.8,"mg/l",2
"Østerby Mose","11.03.1999 12.00.00 +01:00","Sø",0.5,570428,6215714,"Oxygenmætning"," =",99,"pct",2
"VEDSTED SØ AMT ST 3","15.06.2000 12.00.00 +02:00","Sø",1,523049,6116318,"Oxygenmætning"," =",102.7,"pct",2
"ULSE SØ, kemi","09.10.1995 12.00.00 +01:00","Sø",15,691219,6132094,"Oxygen indhold"," =",0.1,"mg/l",2
"FURESØ, kemi","01.04.1993 12.00.00 +02:00","Sø",17.02,714084,6189179,"Oxygen indhold"," =",13.6,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","08.03.2012 12.00.00 +01:00","Sø",3.05,532693,6208262,"Oxygen indhold"," =",11.8,"mg/l",2
"HANNERUP SØ - vandkemi","16.08.1999 12.00.00 +02:00","Sø",1,543367,6278920,"Oxygen indhold"," =",5.8,"mg/l",2
"SØGÅRD SØ (SYD, v. Vamdrup) - vandkemi","20.08.2002 12.00.00 +02:00","Sø",2.24,520785,6142631,"Oxygen indhold"," =",11,"mg/l",2
"HOLSTEBRO VANDKRAFTSØ, Vandkemi","28.04.1987 12.00.00 +02:00","Sø",2,479740,6245300,"Oxygenmætning"," =",84,"pct",1
"VESTERBORG SØ, kemi","24.05.1993 12.00.00 +02:00","Sø",1.5,645924,6082133,"Oxygenmætning"," =",73,"pct",2
"FURESØ, kemi","20.05.2015 12.00.00 +02:00","Sø",10,714084,6189179,"Oxygenmætning"," =",114,"pct",2
"HAMPEN SØ, Vandkemi","10.07.2018 12.00.00 +02:00","Sø",7.5,524669,6208043,"Oxygen indhold"," =",8.05,"mg/l",3
"VESSØ","15.07.2008 12.00.00 +02:00","Sø",8,548964,6214249,"Oxygenmætning"," =",1,"pct",2
