"StedID","Stedtekst","Vandområde","Dato","Prøvetype","Målested, x-koordinat","Medie","Målested, y-koordinat","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
42000464,"Hvirlå, Ca. 100 meter før sammenløb me","Vidå","05.12.1989 12.00.00 +01:00","Enkeltprøve",495654,"Vandløb",6089649,"Total","Jern"," =",2.4,"mg/l",9999999,NA,2
21000455,"GJERN Å, AFLØB FRA SØBYGÅRD SØ","Gudenåen","27.04.1992 12.00.00 +02:00","Enkeltprøve",549303,"Vandløb",6234702,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0,"mg/l",9999999,NA,2
26000096,"LYNGBYGÅRDS Å, A 15","Århuså","27.08.1991 12.00.00 +02:00","Enkeltprøve",564261,"Vandløb",6223517,"Ej oplyst","COD, susp.stof "," =",2.5,"mg/l",9999999,NA,3
57000050,"SUSÅ, NÆSBY BRO","Suså","02.11.1981 12.00.00 +01:00","Enkeltprøve",667753,"Vandløb",6141009,"Total","Ammoniak+ammonium-N"," =",0.32,"mg/l",9999999,NA,3
16000070,"VIUM MØLLEÅ, VIUM MØLLE","Hellegård/Vium Mølle åer","19.07.2011 12.00.00 +02:00","Enkeltprøve",496881,"Vandløb",6280484,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.052,"mg/l",9999999,NA,3
28000051,"Bygholm Å, SØ hjørne af Bygholm Park i Horsens","Bygholmå","14.11.2018 12.00.00 +01:00","Enkeltprøve",552180,"Vandløb",6190950,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.1,"mg/l",9999999,NA,3
34000468,"Tilløb 7, Bølling vådområde, Bølling vådområde","Koldingå","13.07.2016 12.00.00 +02:00","Enkeltprøve",522198,"Vandløb",6161093,"Total","Phosphor, total-P"," =",0.184278864176118,"mg/l",9999999,NA,3
21000086,"GUDENÅ, RYE MØLLE","Gudenåen","13.12.1971 12.00.00 +01:00","Enkeltprøve",546847,"Vandløb",6216555,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.136,"mg/l",9999999,NA,2
21000806,"MATTRUP Å, AFLØB FRA STIGSHOLMSØ","Gudenåen","02.05.2019 12.00.00 +02:00","Enkeltprøve",530980,"Vandløb",6203430,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.018,"mg/l",9999999,NA,3
43000072,"Dræn 19 - Marginaljordsareal - tilløb, Dræn 19 - Marginaljordsareal - tilløb","Storå","20.04.1995 12.00.00 +02:00","Enkeltprøve",562539,"Vandløb",6149252,"Total","Sulfat"," =",50,"mg/l",9999999,NA,2
45000002,"ODENSE Å, NS EJBY SLUSE (9.45)","Odense Å m.fl.","13.02.2001 12.00.00 +01:00","Puljet prøve / tidsproportional",589919,"Vandløb",6140164,"Total","Phosphor, total-P"," =",0.26,"mg/l",9999999,NA,2
47000035,"SYLTEMAE Å, 2.40","Hundstrup Å m.fl.","25.08.1998 12.00.00 +02:00","Enkeltprøve",593211,"Vandløb",6102078,"Total","Suspenderede stoffer"," =",46,"mg/l",9999999,NA,2
45000001,"ODENSE Å, EJBY MØLLE, NS RENS (ST 8.45)","Odense Å m.fl.","27.11.1990 12.00.00 +01:00","Puljet prøve / tidsproportional",590112,"Vandløb",6140232,"Total","Nitrogen,total N"," =",11.1,"mg/l",9999999,NA,2
58000047,"KØGE Å, V. LELLINGE DAMBRUG","Køgeå","13.06.2019 12.00.00 +02:00","Enkeltprøve",696054,"Vandløb",6151362,"Total","Phosphor, total-P"," =",0.18,"mg/l",9999999,NA,3
21000783,"GJEL BÆK V. HALD SØ, GJELBRO (Hald sø)","Gudenåen","20.08.1991 12.00.00 +02:00","Enkeltprøve",520466,"Vandløb",6248584,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",2.300000109244138,"mg/l",9999999,NA,2
51000026,"ELVERDAMSÅEN, V. KRAGEBRO","Bregninge/Tuse Å m.fl.","16.05.1995 12.00.00 +02:00","Enkeltprøve",675801,"Vandløb",6168971,"Ej oplyst","BOD ufortyndet"," =",2.27,"mg/l",9999999,NA,3
42000013,"BOLBRO BÆK, NØREKÆR","Vidå","02.04.1991 12.00.00 +02:00","Enkeltprøve",508130,"Vandløb",6103780,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.15,"mg/l",9999999,NA,2
45000090,"RISLEBÆK, SOLLERUP","Odense Å m.fl.","14.01.2021 12.00.00 +01:00","Enkeltprøve",582272,"Vandløb",6111970,"Total","Nitrogen,total N"," =",3.1,"mg/l",0.02,NA,3
46000018,"SØHOLM SØ, TILLØB 1, SØHOLM SØ, TILLØB 1","Brendeå","09.12.1998 12.00.00 +01:00","Enkeltprøve",571797,"Vandløb",6126589,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",3.88,"mg/l",9999999,NA,3
45000002,"ODENSE Å, NS EJBY SLUSE (9.45)","Odense Å m.fl.","31.03.1987 12.00.00 +02:00","Enkeltprøve",589919,"Vandløb",6140164,"Total","Hydrogencarbonat"," =",226,"mg/l",9999999,NA,2
38000022,"GELS Å, VED GELS BRO","Ribeå","03.06.1993 12.00.00 +02:00","Enkeltprøve",495765,"Vandløb",6127558,"Total","Nitrogen,total N"," =",2.4300001154188067,"mg/l",9999999,NA,2
47000104,"HUNDSTRUP Å, VEJ VR.ÅBY-FJÆLLEBROEN","Hundstrup Å m.fl.","10.10.1995 12.00.00 +01:00","Enkeltprøve",587862,"Vandløb",6104023,"Total","Nitrogen,total N"," =",2.85,"mg/l",9999999,NA,2
57000063,"HARALDSTED Å, OS HARALDSTED BY","Suså","16.05.2018 12.00.00 +02:00","Enkeltprøve",674991,"Vandløb",6152965,"Total","Nitrogen,total N"," =",4.2,"mg/l",9999999,NA,3
20000024,"KARUP Å, NØRKÆR BRO","Skive/Karup Å","06.02.2003 12.00.00 +01:00","Enkeltprøve",498926,"Vandløb",6263303,"Total","pH"," =",6.7,"pH",9999999,NA,3
50000056,"NIVE  Å, V. JELLEBRO","Mølleå","06.04.1989 12.00.00 +02:00","Enkeltprøve",717757,"Vandløb",6203826,"Total","Phosphor, total-P"," =",0.62,"mg/l",9999999,NA,3
21000090,"GUDENÅ, MØLLERUP","Gudenåen","23.07.1990 12.00.00 +02:00","Enkeltprøve",526668,"Vandløb",6193769,"Total","Phosphor, total-P"," =",0.037,"mg/l",9999999,NA,3
37000036,"KÆR MØLLE Å, TILL. T. HEJLS NOR","Hoptrupå m.fl.","17.10.2019 12.00.00 +02:00","Enkeltprøve",534380,"Vandløb",6137400,"Total","Phosphor, total-P"," =",0.29,"mg/l",9999999,NA,3
