"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"TISSØ, kemi","02.08.2004 12.00.00 +02:00","Vandløb",11.17,644295,6162469,"Oxygen indhold"," =",4.51,"mg/l",2
"GLENSTRUP SØ - vandkemi","20.05.2021 12.00.00 +02:00","Vandløb",16,553293.678104935,6272307.584143105,"Oxygen indhold","",9.22,"mg/l",2
"SJÆLSØ","06.05.1981 12.00.00 +02:00","Vandløb",2,715252,6196623,"Oxygenmætning"," =",115,"pct",2
"Kvie Sø - vandkemi","13.08.2012 12.00.00 +02:00","Vandløb",1,485559,6175543,"Oxygen indhold"," =",9.1,"mg/l",2
"GRUSGRAVSØ 5.17 AMT ST","10.07.2007 12.00.00 +02:00","Vandløb",3.5,597415,6131785,"Oxygenmætning"," =",2,"pct",2
"Nørresø, Fyn /001, vandkemi, sediment","07.08.2024 12.00.00 +02:00","Vandløb",1.59,587917.0410109077,6112007.087992507,"Oxygen indhold","",9.02,"mg/l",2
"KIELSTRUP SØ - vandkemi","01.06.2023 12.00.00 +02:00","Vandløb",2.01,557739.0142364448,6280648.9163128,"Oxygenmætning","",132.2489,"pct",2
"Stilling Solbjerg Sø, SYD FOR KOLLEN","18.04.2012 12.00.00 +02:00","Vandløb",6.97,565236,6213113,"Oxygen indhold"," =",13.1,"mg/l",2
"KNUD SØ, ØST - Kemistation","22.05.1990 12.00.00 +02:00","Vandløb",27,547982,6217718,"Oxygen indhold"," =",4.4,"mg/l",2
"BAGSVÆRD SØ, kemi","20.08.1996 12.00.00 +02:00","Vandløb",2.5,717383,6185871,"Oxygen indhold"," =",4.4,"mg/l",2
"Vedsted Sø - vandkemi","19.05.2005 12.00.00 +02:00","Vandløb",11,523233,6116144,"Oxygenmætning"," =",4.5,"pct",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","20.03.2025 12.00.00 +01:00","Vandløb",5.6,504515.0399677128,6211703.980554111,"Oxygen indhold","",12.56,"mg/l",2
"SØHOLM SØ /001","27.07.1999 12.00.00 +02:00","Vandløb",7,571863,6125861,"Oxygenmætning"," =",1,"pct",2
"FURESØ, kemi","01.06.1995 12.00.00 +02:00","Vandløb",17,714084,6189179,"Oxygenmætning"," =",92,"pct",2
"BRASSØ, BRA 1","12.07.2005 12.00.00 +02:00","Vandløb",6,536232,6221992,"Oxygenmætning"," =",5,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","07.09.1989 12.00.00 +02:00","Vandløb",29,552519,6218243,"Oxygen indhold"," =",0.1,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","16.01.2002 12.00.00 +01:00","Vandløb",3.1,552519,6218243,"Oxygen indhold"," =",11.9,"mg/l",2
"HALD SØ ST.3","22.06.1994 12.00.00 +02:00","Vandløb",1,521059,6249273,"Oxygen indhold"," =",11.2,"mg/l",2
"ARRESØ, kemi","11.06.2002 12.00.00 +02:00","Vandløb",4,693898,6209574,"Oxygen indhold"," =",9.2,"mg/l",2
"VIBORG NØRRESØ, Vandkemi","23.06.1993 12.00.00 +02:00","Vandløb",3,526649,6257983,"Oxygen indhold"," =",10.3,"mg/l",2
"KIMMERSLEV SØ, kemi","24.08.2004 12.00.00 +02:00","Vandløb",4,688780,6153065,"Oxygen indhold"," =",9.1,"mg/l",2
"Skanderborg Sø - vandkemi","13.03.2001 12.00.00 +01:00","Vandløb",10,557952,6207834,"Oxygenmætning"," =",114,"pct",2
"Rygbjerg Sø - vandkemi","22.08.1996 12.00.00 +02:00","Vandløb",0.2,522378,6116429,"Oxygen indhold"," =",9.3,"mg/l",2
"FUSSING SØ MIDT ","30.04.2009 12.00.00 +02:00","Vandløb",23.99,553787,6258768,"Oxygenmætning"," =",99.6,"pct",2
"SØBO SØ, vandkemi","22.05.1989 12.00.00 +02:00","Vandløb",4,576888,6118630,"Oxygen indhold"," =",6,"mg/l",2
"ESRUM SØ, kemi","20.10.1987 12.00.00 +01:00","Vandløb",20,711305,6213072,"Oxygen indhold"," =",10.4,"mg/l",2
"FUGLESØ-FREDERIKSBORG AMTS ST.","31.07.1997 12.00.00 +02:00","Vandløb",1,702078,6184754,"Oxygenmætning"," =",130,"pct",2
"HOLSTEBRO VANDKRAFTSØ, Vandkemi","28.11.1995 12.00.00 +01:00","Vandløb",0.25,479740,6245300,"Oxygenmætning"," =",100,"pct",2
"NORS SØ - vandkemi","03.06.2008 12.00.00 +02:00","Vandløb",10,476319,6320842,"Oxygen indhold"," =",9,"mg/l",3
"TORUP SØ - vandkemi","04.10.2004 12.00.00 +02:00","Vandløb",0.17,526958,6208210,"Oxygenmætning"," =",91,"pct",2
"FIBO SØ, Vandkemi","28.07.2009 12.00.00 +02:00","Vandløb",1.01,474476,6211161,"Oxygen indhold"," =",8.6,"mg/l",1
"BORBJERG MØLLESØ, Vandkemi","15.07.2019 12.00.00 +02:00","Vandløb",0.2,485144,6251534,"Oxygen indhold"," =",9.49,"mg/l",3
"THORSØ, MIDT  THO1 - vandkemi","20.09.2007 12.00.00 +02:00","Vandløb",4,532734,6220120,"Oxygenmætning"," =",96,"pct",2
"Furesø-3007","24.07.2003 12.00.00 +02:00","Vandløb",25.52,713292,6189209,"Oxygen indhold"," =",8.45,"mg/l",2
"KULSØ, NØRRE SNEDE, Vandkemi","20.06.2011 12.00.00 +02:00","Vandløb",3.27,520106,6198657,"Oxygen indhold"," =",10,"mg/l",2
"SARUP SØ ST AMT","07.08.1992 12.00.00 +02:00","Vandløb",1,567954,6118169,"Oxygen indhold"," =",8.9,"mg/l",2
"126-soe-001","18.07.2024 12.00.00 +02:00","Vandløb",0.29,735932.2082438717,6174826.360656502,"Oxygenmætning","",96.1313,"pct",2
"Grindsted Engsø /001 - vandkemi","16.11.2020 12.00.00 +01:00","Vandløb",1,492563,6179380,"Oxygen indhold"," =",10.99,"mg/l",2
"RØGBØLLE SØ, SYDB, kemi","19.04.2010 12.00.00 +02:00","Vandløb",0.21,666003,6065651,"Oxygen indhold"," =",12.31,"mg/l",2
"BORUP SØ ST AMT","20.08.1991 12.00.00 +02:00","Vandløb",1,687544,6154115,"Oxygen indhold"," =",8.9,"mg/l",2
"MARIBO SØNDERSØ, kemi","01.07.2002 12.00.00 +02:00","Vandløb",1,661571,6070255,"Oxygenmætning"," =",69,"pct",2
"SNORREBAKKESØ","23.06.2021 12.00.00 +02:00","Vandløb",11,865357.9994981254,6121169.003365579,"Oxygen indhold"," =",4.76,"mg/l",2
"NORS SØ - vandkemi","20.08.2012 12.00.00 +02:00","Vandløb",17,476319,6320842,"Oxygenmætning"," =",17.1,"pct",2
"VOERBJERG LERGRAV - vandkemi","14.09.2015 12.00.00 +02:00","Vandløb",8,554305,6328226,"Oxygen indhold"," =",7.14,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","19.05.2020 12.00.00 +02:00","Vandløb",19.9,552519,6218243,"Oxygen indhold"," =",8.9,"mg/l",2
"UTTERSLEV MOSE, VESTLIG BASSIN","25.10.2023 12.00.00 +02:00","Vandløb",1.1,719438.9998064459,6179850.003863373,"Oxygenmætning","",82.5,"pct",1
"Stallerup Sø - vandkemi","20.06.2013 12.00.00 +02:00","Vandløb",1,526538,6153355,"Oxygenmætning"," =",120,"pct",2
"STRANDHOLM SØ","02.09.1999 12.00.00 +02:00","Vandløb",0.2,652763,6058187,"Oxygen indhold"," =",10.66,"mg/l",2
"EMDRUP SØ AMTST","08.05.2007 12.00.00 +02:00","Vandløb",0.2,723176,6180953,"Oxygen indhold"," =",9.4,"mg/l",2
"NORDBY SØ ST AMT","02.07.2025 12.00.00 +02:00","Vandløb",0.5,561051.0129994939,6123650.999076192,"Oxygen indhold","",16.94,"mg/l",2
"BUNDLØS,MERN","12.08.1998 12.00.00 +02:00","Vandløb",0.5,689999,6107002,"Oxygen indhold"," =",3.6,"mg/l",2
"SKARRESØ Kemistation","12.06.2007 12.00.00 +02:00","Vandløb",2,649416,6169795,"Oxygen indhold"," =",20.8,"mg/l",2
"VIRKET SØ, kemi","21.06.2005 12.00.00 +02:00","Vandløb",1.5,690400,6080263,"Oxygen indhold"," =",14.63,"mg/l",2
"BASTRUP SØ, kemi","17.07.1984 12.00.00 +02:00","Vandløb",0,704828,6190664,"Oxygenmætning"," =",92,"pct",2
"FURESØ, kemi","01.10.1992 12.00.00 +01:00","Vandløb",4,714084,6189179,"Oxygen indhold"," =",9.5,"mg/l",2
"VEJLESØ, MIDT","12.06.2003 12.00.00 +02:00","Vandløb",4,717014,6190183,"Oxygen indhold"," =",0.41,"mg/l",2
"Ulstrup Langsø - vandkemi","18.02.2004 12.00.00 +01:00","Vandløb",11,599932,6236803,"Oxygenmætning"," =",93,"pct",2
"NIELSTRUP SØ, (RØNNEDE)","19.05.1998 12.00.00 +02:00","Vandløb",0.2,690900,6131086,"Oxygenmætning"," =",111,"pct",2
"Store Øresø /001, vandkemi, sediment","17.05.2006 12.00.00 +02:00","Vandløb",0.2,582710,6108840,"Oxygen indhold"," =",7.2,"mg/l",2
"KULSØ, NØRRE SNEDE, Vandkemi","08.06.2017 12.00.00 +02:00","Vandløb",1,520106,6198657,"Oxygenmætning"," =",101.1,"pct",3
"Dons Søndersø - vandkemi","11.08.2025 12.00.00 +02:00","Vandløb",0.19,526989.0073953408,6155548.945806657,"Oxygenmætning","",156.72,"pct",2
"SUNDS SØ, Vandkemi","17.02.1988 12.00.00 +01:00","Vandløb",0.2,501979,6229849,"Oxygenmætning"," =",98,"pct",2
"GRUSGRAVSSØ 1","03.06.1992 12.00.00 +02:00","Vandløb",8,598126,6133118,"Oxygenmætning"," =",3,"pct",2
"BRYRUP LANGSØ,  BRY 1","08.05.1990 12.00.00 +02:00","Vandløb",5,532693,6208262,"Oxygen indhold"," =",7.9,"mg/l",2
"HELLESØ, Vandkemi","27.11.2002 12.00.00 +01:00","Vandløb",0.2,493446,6257475,"Oxygenmætning"," =",90,"pct",2
"TEBSTRUP SØ","15.05.2019 12.00.00 +02:00","Vandløb",1,554540,6201824,"Oxygenmætning"," =",96,"pct",3
"HALD SØ, Vandkemi","20.01.2003 12.00.00 +01:00","Vandløb",13,520999,6247723,"Oxygen indhold"," =",12.5,"mg/l",2
"BORBJERG MØLLESØ, Vandkemi","21.05.1997 12.00.00 +02:00","Vandløb",0.25,485144,6251534,"Oxygenmætning"," =",76,"pct",2
"HALD SØ, Vandkemi","21.09.1998 12.00.00 +02:00","Vandløb",0.2,520999,6247723,"Oxygen indhold"," =",10.3,"mg/l",2
"Sjælsø vest","27.06.1995 12.00.00 +02:00","Vandløb",0.5,714469,6196649,"Oxygen indhold"," =",9.2,"mg/l",2
"Nørresø, Fyn /001, vandkemi, sediment","27.05.1992 12.00.00 +02:00","Vandløb",3,587917,6112007,"Oxygenmætning"," =",123,"pct",2
"FURESØ, kemi","13.08.2009 12.00.00 +02:00","Vandløb",32,714084,6189179,"Oxygen indhold"," =",6.3,"mg/l",2
